id,academic_year_id/id,class_id/id,compulsory_subjects/id,from_date,optional_subjects/id,roll_no,selective_subjects/id,student_id/id,till_date,level/id,section/id
__export__.education_class_history_1_15dd840d,__export__.education_academic_year_4_bba79d68,__export__.education_class_division_93_d2cfa94d,"__export__.education_syllabus_6_71b06156,__export__.education_syllabus_8_0c25e9c7,__export__.education_syllabus_9_56f0ef02,__export__.education_syllabus_10_e3b00f25,__export__.education_syllabus_11_b0662423,__export__.education_syllabus_12_9bd3abe9,__export__.education_syllabus_13_94cfc7de,__export__.education_syllabus_19_c76e36ea,__export__.education_syllabus_20_349a061e",,__export__.education_syllabus_25_1dbe6cc6,1,__export__.education_syllabus_24_5032abc2,__export__.education_student_1_ab3e88de,,__export__.education_class_11_1f003666,education_core.class_section1
__export__.education_class_history_2_ac4ec5e9,__export__.education_academic_year_4_bba79d68,__export__.education_class_division_93_d2cfa94d,"__export__.education_syllabus_6_71b06156,__export__.education_syllabus_8_0c25e9c7,__export__.education_syllabus_9_56f0ef02,__export__.education_syllabus_10_e3b00f25,__export__.education_syllabus_11_b0662423,__export__.education_syllabus_12_9bd3abe9,__export__.education_syllabus_13_94cfc7de,__export__.education_syllabus_19_c76e36ea,__export__.education_syllabus_20_349a061e",,__export__.education_syllabus_24_5032abc2,2,__export__.education_syllabus_25_1dbe6cc6,__export__.education_student_2_a8b9764d,,__export__.education_class_11_1f003666,education_core.class_section1
__export__.education_class_history_3_dc61fe97,__export__.education_academic_year_4_bba79d68,__export__.education_class_division_93_d2cfa94d,"__export__.education_syllabus_6_71b06156,__export__.education_syllabus_8_0c25e9c7,__export__.education_syllabus_9_56f0ef02,__export__.education_syllabus_10_e3b00f25,__export__.education_syllabus_11_b0662423,__export__.education_syllabus_12_9bd3abe9,__export__.education_syllabus_13_94cfc7de,__export__.education_syllabus_19_c76e36ea,__export__.education_syllabus_20_349a061e",,__export__.education_syllabus_25_1dbe6cc6,3,__export__.education_syllabus_24_5032abc2,__export__.education_student_3_425b9ffe,,__export__.education_class_11_1f003666,education_core.class_section1
__export__.education_class_history_4_c14f47b5,__export__.education_academic_year_4_bba79d68,__export__.education_class_division_93_d2cfa94d,"__export__.education_syllabus_6_71b06156,__export__.education_syllabus_8_0c25e9c7,__export__.education_syllabus_9_56f0ef02,__export__.education_syllabus_10_e3b00f25,__export__.education_syllabus_11_b0662423,__export__.education_syllabus_12_9bd3abe9,__export__.education_syllabus_13_94cfc7de,__export__.education_syllabus_19_c76e36ea,__export__.education_syllabus_20_349a061e",,__export__.education_syllabus_25_1dbe6cc6,4,__export__.education_syllabus_24_5032abc2,__export__.education_student_4_974c794d,,__export__.education_class_11_1f003666,education_core.class_section1
__export__.education_class_history_5_3e3fe59c,__export__.education_academic_year_4_bba79d68,__export__.education_class_division_93_d2cfa94d,"__export__.education_syllabus_6_71b06156,__export__.education_syllabus_8_0c25e9c7,__export__.education_syllabus_9_56f0ef02,__export__.education_syllabus_10_e3b00f25,__export__.education_syllabus_11_b0662423,__export__.education_syllabus_12_9bd3abe9,__export__.education_syllabus_13_94cfc7de,__export__.education_syllabus_19_c76e36ea,__export__.education_syllabus_20_349a061e",,__export__.education_syllabus_24_5032abc2,5,__export__.education_syllabus_25_1dbe6cc6,__export__.education_student_5_f8fa1455,,__export__.education_class_11_1f003666,education_core.class_section1
__export__.education_class_history_6_cf40b4d3,__export__.education_academic_year_4_bba79d68,__export__.education_class_division_93_d2cfa94d,"__export__.education_syllabus_6_71b06156,__export__.education_syllabus_8_0c25e9c7,__export__.education_syllabus_9_56f0ef02,__export__.education_syllabus_10_e3b00f25,__export__.education_syllabus_11_b0662423,__export__.education_syllabus_12_9bd3abe9,__export__.education_syllabus_13_94cfc7de,__export__.education_syllabus_19_c76e36ea,__export__.education_syllabus_20_349a061e",,__export__.education_syllabus_25_1dbe6cc6,6,__export__.education_syllabus_24_5032abc2,__export__.education_student_6_0a94adc9,,__export__.education_class_11_1f003666,education_core.class_section1
__export__.education_class_history_7_c625c0f0,__export__.education_academic_year_4_bba79d68,__export__.education_class_division_93_d2cfa94d,"__export__.education_syllabus_6_71b06156,__export__.education_syllabus_8_0c25e9c7,__export__.education_syllabus_9_56f0ef02,__export__.education_syllabus_10_e3b00f25,__export__.education_syllabus_11_b0662423,__export__.education_syllabus_12_9bd3abe9,__export__.education_syllabus_13_94cfc7de,__export__.education_syllabus_19_c76e36ea,__export__.education_syllabus_20_349a061e",,__export__.education_syllabus_24_5032abc2,7,__export__.education_syllabus_25_1dbe6cc6,__export__.education_student_7_aeee4c8a,,__export__.education_class_11_1f003666,education_core.class_section1
__export__.education_class_history_8_fdbba2ff,__export__.education_academic_year_4_bba79d68,__export__.education_class_division_93_d2cfa94d,"__export__.education_syllabus_6_71b06156,__export__.education_syllabus_8_0c25e9c7,__export__.education_syllabus_9_56f0ef02,__export__.education_syllabus_10_e3b00f25,__export__.education_syllabus_11_b0662423,__export__.education_syllabus_12_9bd3abe9,__export__.education_syllabus_13_94cfc7de,__export__.education_syllabus_19_c76e36ea,__export__.education_syllabus_20_349a061e",,__export__.education_syllabus_25_1dbe6cc6,8,__export__.education_syllabus_24_5032abc2,__export__.education_student_8_ffbf12cd,,__export__.education_class_11_1f003666,education_core.class_section1
__export__.education_class_history_9_87f8fd3c,__export__.education_academic_year_4_bba79d68,__export__.education_class_division_93_d2cfa94d,"__export__.education_syllabus_6_71b06156,__export__.education_syllabus_8_0c25e9c7,__export__.education_syllabus_9_56f0ef02,__export__.education_syllabus_10_e3b00f25,__export__.education_syllabus_11_b0662423,__export__.education_syllabus_12_9bd3abe9,__export__.education_syllabus_13_94cfc7de,__export__.education_syllabus_19_c76e36ea,__export__.education_syllabus_20_349a061e",,__export__.education_syllabus_24_5032abc2,9,__export__.education_syllabus_25_1dbe6cc6,__export__.education_student_9_d0b9e27e,,__export__.education_class_11_1f003666,education_core.class_section1
__export__.education_class_history_10_84561ce9,__export__.education_academic_year_4_bba79d68,__export__.education_class_division_93_d2cfa94d,"__export__.education_syllabus_6_71b06156,__export__.education_syllabus_8_0c25e9c7,__export__.education_syllabus_9_56f0ef02,__export__.education_syllabus_10_e3b00f25,__export__.education_syllabus_11_b0662423,__export__.education_syllabus_12_9bd3abe9,__export__.education_syllabus_13_94cfc7de,__export__.education_syllabus_19_c76e36ea,__export__.education_syllabus_20_349a061e",,__export__.education_syllabus_25_1dbe6cc6,10,__export__.education_syllabus_24_5032abc2,__export__.education_student_10_fc9a4717,,__export__.education_class_11_1f003666,education_core.class_section1
__export__.education_class_history_11_589c4b50,__export__.education_academic_year_4_bba79d68,__export__.education_class_division_93_d2cfa94d,"__export__.education_syllabus_6_71b06156,__export__.education_syllabus_8_0c25e9c7,__export__.education_syllabus_9_56f0ef02,__export__.education_syllabus_10_e3b00f25,__export__.education_syllabus_11_b0662423,__export__.education_syllabus_12_9bd3abe9,__export__.education_syllabus_13_94cfc7de,__export__.education_syllabus_19_c76e36ea,__export__.education_syllabus_20_349a061e",,__export__.education_syllabus_24_5032abc2,11,__export__.education_syllabus_25_1dbe6cc6,__export__.education_student_11_a22d5bb2,,__export__.education_class_11_1f003666,education_core.class_section1
__export__.education_class_history_12_7cfa317a,__export__.education_academic_year_4_bba79d68,__export__.education_class_division_93_d2cfa94d,"__export__.education_syllabus_6_71b06156,__export__.education_syllabus_8_0c25e9c7,__export__.education_syllabus_9_56f0ef02,__export__.education_syllabus_10_e3b00f25,__export__.education_syllabus_11_b0662423,__export__.education_syllabus_12_9bd3abe9,__export__.education_syllabus_13_94cfc7de,__export__.education_syllabus_19_c76e36ea,__export__.education_syllabus_20_349a061e",,__export__.education_syllabus_24_5032abc2,12,__export__.education_syllabus_25_1dbe6cc6,__export__.education_student_12_babc33d7,,__export__.education_class_11_1f003666,education_core.class_section1
__export__.education_class_history_13_29368645,__export__.education_academic_year_4_bba79d68,__export__.education_class_division_93_d2cfa94d,"__export__.education_syllabus_6_71b06156,__export__.education_syllabus_8_0c25e9c7,__export__.education_syllabus_9_56f0ef02,__export__.education_syllabus_10_e3b00f25,__export__.education_syllabus_11_b0662423,__export__.education_syllabus_12_9bd3abe9,__export__.education_syllabus_13_94cfc7de,__export__.education_syllabus_19_c76e36ea,__export__.education_syllabus_20_349a061e",,__export__.education_syllabus_24_5032abc2,13,__export__.education_syllabus_25_1dbe6cc6,__export__.education_student_13_bcae3453,,__export__.education_class_11_1f003666,education_core.class_section1
__export__.education_class_history_14_4fee914f,__export__.education_academic_year_4_bba79d68,__export__.education_class_division_93_d2cfa94d,"__export__.education_syllabus_6_71b06156,__export__.education_syllabus_8_0c25e9c7,__export__.education_syllabus_9_56f0ef02,__export__.education_syllabus_10_e3b00f25,__export__.education_syllabus_11_b0662423,__export__.education_syllabus_12_9bd3abe9,__export__.education_syllabus_13_94cfc7de,__export__.education_syllabus_19_c76e36ea,__export__.education_syllabus_20_349a061e",,__export__.education_syllabus_25_1dbe6cc6,14,__export__.education_syllabus_24_5032abc2,__export__.education_student_14_f47f7b15,,__export__.education_class_11_1f003666,education_core.class_section1
__export__.education_class_history_15_7b3cbad7,__export__.education_academic_year_4_bba79d68,__export__.education_class_division_93_d2cfa94d,"__export__.education_syllabus_6_71b06156,__export__.education_syllabus_8_0c25e9c7,__export__.education_syllabus_9_56f0ef02,__export__.education_syllabus_10_e3b00f25,__export__.education_syllabus_11_b0662423,__export__.education_syllabus_12_9bd3abe9,__export__.education_syllabus_13_94cfc7de,__export__.education_syllabus_19_c76e36ea,__export__.education_syllabus_20_349a061e",,__export__.education_syllabus_25_1dbe6cc6,15,__export__.education_syllabus_24_5032abc2,__export__.education_student_15_22827523,,__export__.education_class_11_1f003666,education_core.class_section1
__export__.education_class_history_16_5ba67500,__export__.education_academic_year_4_bba79d68,__export__.education_class_division_93_d2cfa94d,"__export__.education_syllabus_6_71b06156,__export__.education_syllabus_8_0c25e9c7,__export__.education_syllabus_9_56f0ef02,__export__.education_syllabus_10_e3b00f25,__export__.education_syllabus_11_b0662423,__export__.education_syllabus_12_9bd3abe9,__export__.education_syllabus_13_94cfc7de,__export__.education_syllabus_19_c76e36ea,__export__.education_syllabus_20_349a061e",,__export__.education_syllabus_25_1dbe6cc6,16,__export__.education_syllabus_24_5032abc2,__export__.education_student_16_76989664,,__export__.education_class_11_1f003666,education_core.class_section1
__export__.education_class_history_17_9aa28670,__export__.education_academic_year_4_bba79d68,__export__.education_class_division_93_d2cfa94d,"__export__.education_syllabus_6_71b06156,__export__.education_syllabus_8_0c25e9c7,__export__.education_syllabus_9_56f0ef02,__export__.education_syllabus_10_e3b00f25,__export__.education_syllabus_11_b0662423,__export__.education_syllabus_12_9bd3abe9,__export__.education_syllabus_13_94cfc7de,__export__.education_syllabus_19_c76e36ea,__export__.education_syllabus_20_349a061e",,__export__.education_syllabus_24_5032abc2,17,__export__.education_syllabus_25_1dbe6cc6,__export__.education_student_17_179e5331,,__export__.education_class_11_1f003666,education_core.class_section1
__export__.education_class_history_18_fef1ddf3,__export__.education_academic_year_4_bba79d68,__export__.education_class_division_93_d2cfa94d,"__export__.education_syllabus_6_71b06156,__export__.education_syllabus_8_0c25e9c7,__export__.education_syllabus_9_56f0ef02,__export__.education_syllabus_10_e3b00f25,__export__.education_syllabus_11_b0662423,__export__.education_syllabus_12_9bd3abe9,__export__.education_syllabus_13_94cfc7de,__export__.education_syllabus_19_c76e36ea,__export__.education_syllabus_20_349a061e",,__export__.education_syllabus_25_1dbe6cc6,18,__export__.education_syllabus_24_5032abc2,__export__.education_student_18_d30ab68f,,__export__.education_class_11_1f003666,education_core.class_section1
__export__.education_class_history_19_b61d812b,__export__.education_academic_year_4_bba79d68,__export__.education_class_division_93_d2cfa94d,"__export__.education_syllabus_6_71b06156,__export__.education_syllabus_8_0c25e9c7,__export__.education_syllabus_9_56f0ef02,__export__.education_syllabus_10_e3b00f25,__export__.education_syllabus_11_b0662423,__export__.education_syllabus_12_9bd3abe9,__export__.education_syllabus_13_94cfc7de,__export__.education_syllabus_19_c76e36ea,__export__.education_syllabus_20_349a061e",,__export__.education_syllabus_25_1dbe6cc6,19,__export__.education_syllabus_24_5032abc2,__export__.education_student_19_2080e198,,__export__.education_class_11_1f003666,education_core.class_section1
__export__.education_class_history_20_14c6208b,__export__.education_academic_year_4_bba79d68,__export__.education_class_division_93_d2cfa94d,"__export__.education_syllabus_6_71b06156,__export__.education_syllabus_8_0c25e9c7,__export__.education_syllabus_9_56f0ef02,__export__.education_syllabus_10_e3b00f25,__export__.education_syllabus_11_b0662423,__export__.education_syllabus_12_9bd3abe9,__export__.education_syllabus_13_94cfc7de,__export__.education_syllabus_19_c76e36ea,__export__.education_syllabus_20_349a061e",,__export__.education_syllabus_24_5032abc2,20,__export__.education_syllabus_25_1dbe6cc6,__export__.education_student_20_fdec7538,,__export__.education_class_11_1f003666,education_core.class_section1
__export__.education_class_history_21_7616ff02,__export__.education_academic_year_4_bba79d68,__export__.education_class_division_93_d2cfa94d,"__export__.education_syllabus_6_71b06156,__export__.education_syllabus_8_0c25e9c7,__export__.education_syllabus_9_56f0ef02,__export__.education_syllabus_10_e3b00f25,__export__.education_syllabus_11_b0662423,__export__.education_syllabus_12_9bd3abe9,__export__.education_syllabus_13_94cfc7de,__export__.education_syllabus_19_c76e36ea,__export__.education_syllabus_20_349a061e",,__export__.education_syllabus_25_1dbe6cc6,21,__export__.education_syllabus_24_5032abc2,__export__.education_student_21_d423868a,,__export__.education_class_11_1f003666,education_core.class_section1
__export__.education_class_history_22_37773b94,__export__.education_academic_year_4_bba79d68,__export__.education_class_division_93_d2cfa94d,"__export__.education_syllabus_6_71b06156,__export__.education_syllabus_8_0c25e9c7,__export__.education_syllabus_9_56f0ef02,__export__.education_syllabus_10_e3b00f25,__export__.education_syllabus_11_b0662423,__export__.education_syllabus_12_9bd3abe9,__export__.education_syllabus_13_94cfc7de,__export__.education_syllabus_19_c76e36ea,__export__.education_syllabus_20_349a061e",,__export__.education_syllabus_24_5032abc2,22,__export__.education_syllabus_25_1dbe6cc6,__export__.education_student_22_f4a07b1a,,__export__.education_class_11_1f003666,education_core.class_section1
__export__.education_class_history_23_3ceaaf1a,__export__.education_academic_year_4_bba79d68,__export__.education_class_division_93_d2cfa94d,"__export__.education_syllabus_6_71b06156,__export__.education_syllabus_8_0c25e9c7,__export__.education_syllabus_9_56f0ef02,__export__.education_syllabus_10_e3b00f25,__export__.education_syllabus_11_b0662423,__export__.education_syllabus_12_9bd3abe9,__export__.education_syllabus_13_94cfc7de,__export__.education_syllabus_19_c76e36ea,__export__.education_syllabus_20_349a061e",,__export__.education_syllabus_25_1dbe6cc6,23,__export__.education_syllabus_24_5032abc2,__export__.education_student_23_40ee0906,,__export__.education_class_11_1f003666,education_core.class_section1
__export__.education_class_history_24_dbaa7539,__export__.education_academic_year_4_bba79d68,__export__.education_class_division_93_d2cfa94d,"__export__.education_syllabus_6_71b06156,__export__.education_syllabus_8_0c25e9c7,__export__.education_syllabus_9_56f0ef02,__export__.education_syllabus_10_e3b00f25,__export__.education_syllabus_11_b0662423,__export__.education_syllabus_12_9bd3abe9,__export__.education_syllabus_13_94cfc7de,__export__.education_syllabus_19_c76e36ea,__export__.education_syllabus_20_349a061e",,__export__.education_syllabus_24_5032abc2,24,__export__.education_syllabus_25_1dbe6cc6,__export__.education_student_24_e79b9e4c,,__export__.education_class_11_1f003666,education_core.class_section1
__export__.education_class_history_25_e904e905,__export__.education_academic_year_4_bba79d68,__export__.education_class_division_93_d2cfa94d,"__export__.education_syllabus_6_71b06156,__export__.education_syllabus_8_0c25e9c7,__export__.education_syllabus_9_56f0ef02,__export__.education_syllabus_10_e3b00f25,__export__.education_syllabus_11_b0662423,__export__.education_syllabus_12_9bd3abe9,__export__.education_syllabus_13_94cfc7de,__export__.education_syllabus_19_c76e36ea,__export__.education_syllabus_20_349a061e",,__export__.education_syllabus_25_1dbe6cc6,25,__export__.education_syllabus_24_5032abc2,__export__.education_student_25_bbb96160,,__export__.education_class_11_1f003666,education_core.class_section1
__export__.education_class_history_26_8cf8e7d4,__export__.education_academic_year_4_bba79d68,__export__.education_class_division_93_d2cfa94d,"__export__.education_syllabus_6_71b06156,__export__.education_syllabus_8_0c25e9c7,__export__.education_syllabus_9_56f0ef02,__export__.education_syllabus_10_e3b00f25,__export__.education_syllabus_11_b0662423,__export__.education_syllabus_12_9bd3abe9,__export__.education_syllabus_13_94cfc7de,__export__.education_syllabus_19_c76e36ea,__export__.education_syllabus_20_349a061e",,__export__.education_syllabus_25_1dbe6cc6,26,__export__.education_syllabus_24_5032abc2,__export__.education_student_26_c7ac21fe,,__export__.education_class_11_1f003666,education_core.class_section1
__export__.education_class_history_27_5f714fb3,__export__.education_academic_year_4_bba79d68,__export__.education_class_division_93_d2cfa94d,"__export__.education_syllabus_6_71b06156,__export__.education_syllabus_8_0c25e9c7,__export__.education_syllabus_9_56f0ef02,__export__.education_syllabus_10_e3b00f25,__export__.education_syllabus_11_b0662423,__export__.education_syllabus_12_9bd3abe9,__export__.education_syllabus_13_94cfc7de,__export__.education_syllabus_19_c76e36ea,__export__.education_syllabus_20_349a061e",,__export__.education_syllabus_24_5032abc2,27,__export__.education_syllabus_25_1dbe6cc6,__export__.education_student_27_be8d51de,,__export__.education_class_11_1f003666,education_core.class_section1
